,CURSO,TEMA
4,IT EN LAS ORGANIZACIONES: SOPORTE A LA INNOVACION EN LINEA,Desarrollo
11,TECNOLOGIAS Y APLICACIONES MOVILES,Desarrollo
18,MODELADO Y DESARROLLO DE SOFTWARE,Desarrollo
20,INGENIERIA DE SOFTWARE,Desarrollo
21,MODELADO Y ANALISIS DE SISTEMAS DE INFORMACION,Desarrollo
22,DISEÑO Y DESARROLLO DE BASES DE DATOS,Desarrollo
26,IT EN LAS ORGANIZACIONES: SOPORTE A LA INNOVACION,Desarrollo
33,INNOVACION,Desarrollo
36,INTELIGENCIA DE NEGOCIO,Desarrollo
43,INNOVACION DE SERVICIOS Y PROCESOS DE NEGOCIO,Desarrollo
56,MODELADO Y DESARROLLO DE SOFTWARE EN LINEA,Desarrollo
57,SCRUM MASTER CERTIFIED ONLINE,Desarrollo
58,INGENIERIA DE SOFTWARE EN LINEA,Desarrollo
59,MODELADO Y ANALISIS DE SISTEMAS DE INFORMACION EN LINEA,Desarrollo
61,DISEÑO Y DESARROLLO DE BASES DE DATOS EN LINEA,Desarrollo
70,INNOVACION EN LINEA,Desarrollo
88,TECNOLOGIAS Y APLICACIONES MOVILES  EN LINEA,Desarrollo
109,SCRUM MASTER CERTIFIED,Desarrollo
120,TALLER DE PRODUCCION WEB: DISEÑO DE UN SITIO WEB PROFESIONAL PARA UN CLIENTE,Desarrollo
121,DISEÑO WEB PARA DISPOSITIVOS MOVILES,Desarrollo
122,POSICIONAMIENTO WEB E INTEGRACION DE REDES SOCIALES,Desarrollo
123,DISEÑO PROFESIONAL DE SITIOS WEB CON DREAMWEAVER CS6,Desarrollo
124,DISEÑO Y OPTIMIZACION DE IMAGEN CON ADOBE FIREWORKS CS6,Desarrollo
127,TALLER DE PRODUCCIÓN WEB: DISEÑO DE UN SITIO WEB,Desarrollo
128,OPTIMIZACION DE VIDEO PARA WEB,Desarrollo
129,RICH MEDIA COMMUNICATION USING FLASH,Desarrollo
130,POSICIONAMIENTO WEB Y COMUNIDADES VIRTUALES,Desarrollo
131,WEB COMMUNICATION USING DREAMWEAVER,Desarrollo
132,DISEÑO Y OPTIMIZACION DE IMAGEN CON ADOBE FIREWORKS,Desarrollo
163,DESARROLLO Y HERRAMIENTAS EN INTERNET,Desarrollo
167,TALLER ACADEMICA WEB 2.0,Desarrollo
172,LA TABLETA COMO HERRAMIENTA EDUCATIVA,Desarrollo
185,ANALISIS Y PLANEACION PARA EL DISEÑO DE APPS EDUCATIVAS,Desarrollo
186,USO DIDACTICO DE TABLETAS: CREACION DE SECUENCIAS DIDACTICAS Y PROYECTOS DE CLASE,Desarrollo
187,LAS PRINCIPALES APPS EDUCATIVAS DE DISPOSITIVOS MOVILES,Desarrollo
188,ARQUITECTURA DE SOFTWARE PARA SER AGIL A NIVEL EMPRESARIAL,Desarrollo
195,PROJECT APTECH CERTIFIED PROGRAMMER,Desarrollo
196,PROGRAMMING IN C#,Desarrollo
197,RDBMS AND DATA MANAGEMENT,Desarrollo
198,ELEMENTARY PROGRAMMING IN C,Desarrollo
201,LOS OBJETOS DE APRENDIZAJE PERSPECTIVA PEDAGOGICA Y TECNOLOGICA,Desarrollo
213,ADOBE PHOTOSHOP CERTIFIED ASSOCIATE,Desarrollo
214,E-LEARNING AUTHORING PROFESSIONAL COURSEWARE,Desarrollo
215,ADOBE DREAMWEAVER CERTIFIED ASSOCIATE,Desarrollo
219,USO DE LA TABLETA PARA ATENCION A TURISMO,Desarrollo
225,TALLER  OBJETOS DE APRENDIZAJE (ODAS),Desarrollo
226,APLICACION DE AMBIENTES DE APRENDIZAJE,Desarrollo
227,APLICACION DE  ESTRATEGIAS DIDACTICAS,Desarrollo
228,TEORIA DE ESTRATEGIAS DIDACTICAS,Desarrollo
229,INDUCCION AL APRENDIZAJE COOPERATIVO - COLABORATIVO,Desarrollo
239,TECNOLOGIAS DE INFORMACION,Desarrollo
249,COMUNICACION PARA TRAINEES,Desarrollo
254,PROCESO CREATIVO,Desarrollo
262,ADOBE ILLUSTRATOR CERTIFIED ASSOCIATE,Desarrollo
274,POST PRODUCCION CON AFTER EFFECTS,Desarrollo
276,TALLER DE PRODUCCION DE VIDEO DIGITAL Y PRESENTACION DE PROYECTO FINAL,Desarrollo
277,PROGRAMACION EN PHP,Desarrollo
278,TALLER DE PRODUCCION 3D,Desarrollo
279,"ENCORE: INTERACTIVE AUTHORING FOR DVD, BLUE RAY DISC OR WEB",Desarrollo
